Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Team
MAG,37.0,97.998,SOFT,8.0,Haas F1 Team
MAG,38.0,98.303,SOFT,9.0,Haas F1 Team
MAG,39.0,98.587,SOFT,10.0,Haas F1 Team
MAG,42.0,96.471,SOFT,2.0,Haas F1 Team
MAG,43.0,96.942,SOFT,3.0,Haas F1 Team
MAG,44.0,96.588,SOFT,4.0,Haas F1 Team
MAG,45.0,97.126,SOFT,5.0,Haas F1 Team
MAG,46.0,97.589,SOFT,6.0,Haas F1 Team
MAG,47.0,97.629,SOFT,7.0,Haas F1 Team
MAG,48.0,97.607,SOFT,8.0,Haas F1 Team
MAG,49.0,97.739,SOFT,9.0,Haas F1 Team
MAG,50.0,98.315,SOFT,10.0,Haas F1 Team
MAG,51.0,98.157,SOFT,11.0,Haas F1 Team
MAG,52.0,97.963,SOFT,12.0,Haas F1 Team
MAG,53.0,97.982,SOFT,13.0,Haas F1 Team
MAG,54.0,99.651,SOFT,14.0,Haas F1 Team
MAG,55.0,98.446,SOFT,15.0,Haas F1 Team
MAG,56.0,98.779,SOFT,16.0,Haas F1 Team
DEV,4.0,100.373,SOFT,4.0,AlphaTauri
DEV,13.0,98.924,HARD,2.0,AlphaTauri
DEV,14.0,98.829,HARD,3.0,AlphaTauri
DEV,15.0,98.868,HARD,4.0,AlphaTauri
DEV,16.0,99.127,HARD,5.0,AlphaTauri
DEV,17.0,98.996,HARD,6.0,AlphaTauri
DEV,18.0,99.054,HARD,7.0,AlphaTauri
DEV,19.0,99.078,HARD,8.0,AlphaTauri
DEV,20.0,99.182,HARD,9.0,AlphaTauri
DEV,21.0,99.182,HARD,10.0,AlphaTauri
DEV,22.0,99.296,HARD,11.0,AlphaTauri
DEV,23.0,99.542,HARD,12.0,AlphaTauri
DEV,24.0,99.807,HARD,13.0,AlphaTauri
DEV,26.0,99.97,HARD,15.0,AlphaTauri
DEV,29.0,98.121,HARD,2.0,AlphaTauri
DEV,30.0,97.709,HARD,3.0,AlphaTauri
DEV,31.0,97.909,HARD,4.0,AlphaTauri
DEV,32.0,97.902,HARD,5.0,AlphaTauri
DEV,33.0,97.933,HARD,6.0,AlphaTauri
DEV,34.0,98.266,HARD,7.0,AlphaTauri
DEV,35.0,98.123,HARD,8.0,AlphaTauri
DEV,36.0,98.206,HARD,9.0,AlphaTauri
DEV,37.0,98.423,HARD,10.0,AlphaTauri
DEV,38.0,98.379,HARD,11.0,AlphaTauri
DEV,39.0,98.535,HARD,12.0,AlphaTauri
DEV,42.0,99.873,HARD,15.0,AlphaTauri
DEV,43.0,100.177,HARD,16.0,AlphaTauri
DEV,44.0,99.588,HARD,17.0,AlphaTauri
DEV,45.0,98.889,HARD,18.0,AlphaTauri
DEV,46.0,98.871,HARD,19.0,AlphaTauri
DEV,47.0,98.921,HARD,20.0,AlphaTauri
DEV,48.0,100.441,HARD,21.0,AlphaTauri
DEV,49.0,98.985,HARD,22.0,AlphaTauri
DEV,50.0,99.089,HARD,23.0,AlphaTauri
DEV,51.0,100.475,HARD,24.0,AlphaTauri
DEV,52.0,100.33,HARD,25.0,AlphaTauri
DEV,53.0,99.15,HARD,26.0,AlphaTauri
DEV,54.0,98.885,HARD,27.0,AlphaTauri
DEV,55.0,99.239,HARD,28.0,AlphaTauri
DEV,56.0,99.161,HARD,29.0,AlphaTauri
TSU,3.0,100.243,SOFT,3.0,AlphaTauri
TSU,4.0,99.95,SOFT,4.0,AlphaTauri
TSU,12.0,99.143,HARD,2.0,AlphaTauri
TSU,13.0,99.471,HARD,3.0,AlphaTauri
TSU,14.0,98.742,HARD,4.0,AlphaTauri
TSU,15.0,98.975,HARD,5.0,AlphaTauri
TSU,16.0,99.061,HARD,6.0,AlphaTauri
TSU,17.0,99.021,HARD,7.0,AlphaTauri
TSU,18.0,99.302,HARD,8.0,AlphaTauri
TSU,19.0,99.17,HARD,9.0,AlphaTauri
TSU,20.0,99.282,HARD,10.0,AlphaTauri
TSU,21.0,99.325,HARD,11.0,AlphaTauri
TSU,22.0,99.439,HARD,12.0,AlphaTauri
TSU,23.0,99.632,HARD,13.0,AlphaTauri
TSU,24.0,100.109,HARD,14.0,AlphaTauri
TSU,25.0,99.746,HARD,15.0,AlphaTauri
TSU,28.0,97.824,HARD,2.0,AlphaTauri
TSU,29.0,97.779,HARD,3.0,AlphaTauri
TSU,30.0,98.147,HARD,4.0,AlphaTauri
TSU,31.0,97.813,HARD,5.0,AlphaTauri
TSU,32.0,98.017,HARD,6.0,AlphaTauri
TSU,33.0,98.094,HARD,7.0,AlphaTauri
TSU,34.0,98.13,HARD,8.0,AlphaTauri
TSU,35.0,98.163,HARD,9.0,AlphaTauri
TSU,36.0,98.059,HARD,10.0,AlphaTauri
TSU,37.0,98.075,HARD,11.0,AlphaTauri
TSU,38.0,98.084,HARD,12.0,AlphaTauri
TSU,39.0,98.419,HARD,13.0,AlphaTauri
TSU,42.0,96.637,SOFT,5.0,AlphaTauri
TSU,43.0,97.028,SOFT,6.0,AlphaTauri
TSU,44.0,97.01,SOFT,7.0,AlphaTauri
TSU,45.0,97.021,SOFT,8.0,AlphaTauri
TSU,46.0,97.258,SOFT,9.0,AlphaTauri
TSU,47.0,97.359,SOFT,10.0,AlphaTauri
TSU,48.0,97.238,SOFT,11.0,AlphaTauri
TSU,49.0,97.528,SOFT,12.0,AlphaTauri
TSU,50.0,97.624,SOFT,13.0,AlphaTauri
TSU,51.0,97.706,SOFT,14.0,AlphaTauri
TSU,52.0,97.59,SOFT,15.0,AlphaTauri
TSU,53.0,97.675,SOFT,16.0,AlphaTauri
TSU,54.0,97.72,SOFT,17.0,AlphaTauri
TSU,55.0,97.945,SOFT,18.0,AlphaTauri
TSU,56.0,98.102,SOFT,19.0,AlphaTauri
TSU,57.0,98.246,SOFT,20.0,AlphaTauri
ALB,2.0,100.43,SOFT,2.0,Williams
ALB,3.0,100.143,SOFT,3.0,Williams
ALB,4.0,99.761,SOFT,4.0,Williams
ALB,13.0,98.649,SOFT,2.0,Williams
ALB,14.0,98.472,SOFT,3.0,Williams
ALB,15.0,99.158,SOFT,4.0,Williams
ALB,16.0,99.253,SOFT,5.0,Williams
ALB,17.0,99.094,SOFT,6.0,Williams
ALB,18.0,99.049,SOFT,7.0,Williams
ALB,19.0,99.272,SOFT,8.0,Williams
ALB,20.0,99.299,SOFT,9.0,Williams
