Driver,LapNumber,LapTimeSeconds,TyreLife,Team,Compound_HARD,Compound_MEDIUM,Compound_SOFT
ALB,17.0,99.094,6.0,Williams,False,False,True
ALB,18.0,99.049,7.0,Williams,False,False,True
ALB,19.0,99.272,8.0,Williams,False,False,True
ALB,20.0,99.299,9.0,Williams,False,False,True
ALB,21.0,99.591,10.0,Williams,False,False,True
ALB,22.0,99.588,11.0,Williams,False,False,True
ALB,23.0,99.802,12.0,Williams,False,False,True
ALB,24.0,99.89,13.0,Williams,False,False,True
ALB,25.0,99.832,14.0,Williams,False,False,True
ALB,28.0,97.503,2.0,Williams,True,False,False
ALB,29.0,98.127,3.0,Williams,True,False,False
ALB,30.0,97.931,4.0,Williams,True,False,False
ALB,31.0,98.104,5.0,Williams,True,False,False
ALB,32.0,97.919,6.0,Williams,True,False,False
ALB,33.0,98.104,7.0,Williams,True,False,False
ALB,34.0,97.961,8.0,Williams,True,False,False
ALB,35.0,97.984,9.0,Williams,True,False,False
ALB,36.0,98.176,10.0,Williams,True,False,False
ALB,37.0,98.038,11.0,Williams,True,False,False
ALB,38.0,98.33,12.0,Williams,True,False,False
ALB,39.0,98.346,13.0,Williams,True,False,False
ALB,42.0,97.211,2.0,Williams,False,False,True
ALB,43.0,97.144,3.0,Williams,False,False,True
ALB,44.0,97.327,4.0,Williams,False,False,True
ALB,45.0,97.503,5.0,Williams,False,False,True
ALB,46.0,97.577,6.0,Williams,False,False,True
ALB,47.0,97.545,7.0,Williams,False,False,True
ALB,48.0,97.684,8.0,Williams,False,False,True
ALB,49.0,97.609,9.0,Williams,False,False,True
ALB,50.0,97.695,10.0,Williams,False,False,True
ALB,51.0,97.727,11.0,Williams,False,False,True
